127.0.0.1 - - [19/Aug/2021:16:26:17 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Aug/2021:16:26:18 +0530] "GET /HelloWorld/ HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [19/Aug/2021:16:26:32 +0530] "GET /HelloWorld/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2021:16:26:47 +0530] "GET /HelloWorld/ HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [19/Aug/2021:16:27:19 +0530] "GET /HelloWorld/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2021:16:31:01 +0530] "GET /HelloWorld/ HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [19/Aug/2021:16:31:14 +0530] "GET /HelloWorld/ HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [19/Aug/2021:16:34:59 +0530] "GET /HelloWorld/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2021:16:35:05 +0530] "GET /HelloWorld/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2021:16:35:09 +0530] "GET /HelloWorld/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2021:16:35:21 +0530] "GET /HelloWorld/hello.html HTTP/1.1" 404 776
